number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
37,0.29578,2025-07-28 12:48:47.863650,2025-07-28 13:23:17.616316,0 days 00:34:29.752666000,256,0.1,0.5,0.0001,10,3000,64,COMPLETE
38,0.15586,2025-07-28 13:23:17.637041,2025-07-28 13:27:33.729615,0 days 00:04:16.092574000,128,0.1,1.0,0.1,3,500,128,COMPLETE
39,0.24454000000000004,2025-07-28 13:27:33.751408,2025-07-28 13:56:56.298717,0 days 00:29:22.547309000,256,0.01,1.0,0.0001,5,3000,64,COMPLETE
40,0.2453,2025-07-28 13:56:56.320155,2025-07-28 14:47:21.875240,0 days 00:50:25.555085000,256,0.1,0.5,0.001,10,3000,256,COMPLETE
41,0.31858,2025-07-28 14:47:21.896920,2025-07-28 15:21:47.147576,0 days 00:34:25.250656000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
42,0.31858,2025-07-28 15:21:47.169149,2025-07-28 15:56:01.188664,0 days 00:34:14.019515000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
43,0.31858,2025-07-28 15:56:01.210574,2025-07-28 16:22:54.228594,0 days 00:26:53.018020000,256,0.1,1.0,0.0001,10,3000,64,COMPLETE
44,0.28890000000000005,2025-07-28 16:22:54.247117,2025-07-28 16:38:58.698193,0 days 00:16:04.451076000,128,0.5,1.0,0.0001,10,3000,64,COMPLETE
45,0.31218,2025-07-28 16:38:58.722032,2025-07-28 16:41:40.009148,0 days 00:02:41.287116000,64,0.1,1.0,0.0001,10,500,256,COMPLETE
46,0.11662,2025-07-28 16:41:40.030754,2025-07-28 17:03:06.217558,0 days 00:21:26.186804000,256,0.1,0.5,0.0001,3,3000,64,COMPLETE
47,0.29102,2025-07-28 17:03:06.242601,2025-07-28 17:24:17.649424,0 days 00:21:11.406823000,256,0.5,1.0,0.001,10,3000,64,COMPLETE
48,0.15724000000000002,2025-07-28 17:24:17.671801,2025-07-28 17:58:59.077278,0 days 00:34:41.405477000,256,0.1,0.01,0.1,10,5000,64,COMPLETE
49,0.33036,2025-07-28 17:58:59.100301,2025-07-28 18:12:13.227263,0 days 00:13:14.126962000,64,1.0,0.1,0.0001,10,3000,256,COMPLETE
