number,value,datetime_start,datetime_complete,duration,params_hidden_size,params_il_batch_size,params_il_clip,params_il_lr,params_il_recurrence,params_il_train_steps,params_nb_slots,state
38,0.29778000000000004,2025-07-21 00:09:33.075441,2025-07-21 00:22:01.140553,0 days 00:12:28.065112000,64,128,0.2,1e-05,40,3000,3,COMPLETE
39,0.36408,2025-07-21 00:22:01.152353,2025-07-21 01:40:55.605137,0 days 01:18:54.452784000,256,128,0.8,0.0001,30,3000,4,COMPLETE
40,0.4846,2025-07-21 01:40:55.617159,2025-07-21 01:43:27.353731,0 days 00:02:31.736572000,128,128,0.1,0.1,30,250,3,COMPLETE
41,0.494,2025-07-21 01:43:27.365762,2025-07-21 01:53:56.098861,0 days 00:10:28.733099000,256,128,0.1,0.0001,30,500,3,COMPLETE
42,0.494,2025-07-21 01:53:56.111393,2025-07-21 02:04:26.707807,0 days 00:10:30.596414000,256,128,0.1,0.0001,30,500,3,COMPLETE
43,0.5463800000000001,2025-07-21 02:04:26.720551,2025-07-21 03:04:59.861029,0 days 01:00:33.140478000,256,128,0.1,0.0001,40,3000,3,COMPLETE
44,0.5202800000000001,2025-07-21 03:04:59.873682,2025-07-21 04:05:35.719731,0 days 01:00:35.846049000,256,128,0.8,0.0001,40,3000,3,COMPLETE
45,0.41104,2025-07-21 04:05:35.732699,2025-07-21 05:24:25.916365,0 days 01:18:50.183666000,256,128,0.8,0.0001,40,3000,4,COMPLETE
46,0.5202800000000001,2025-07-21 05:24:25.929477,2025-07-21 06:24:48.152779,0 days 01:00:22.223302000,256,128,0.8,0.0001,40,3000,3,COMPLETE
47,0.4846,2025-07-21 06:24:48.170662,2025-07-21 07:26:50.492753,0 days 01:02:02.322091000,256,128,0.8,0.1,40,3000,3,COMPLETE
48,0.5202800000000001,2025-07-21 07:26:50.506217,2025-07-21 08:27:01.732570,0 days 01:00:11.226353000,256,128,0.8,0.0001,40,3000,3,COMPLETE
49,0.29056000000000004,2025-07-21 08:27:01.746528,2025-07-21 09:04:31.174472,0 days 00:37:29.427944000,256,64,0.8,1e-05,40,3000,3,COMPLETE
50,0.2933,2025-07-21 09:04:31.189769,2025-07-21 09:20:25.565418,0 days 00:15:54.375649000,64,128,0.8,0.0001,40,3000,4,COMPLETE
51,0.5202800000000001,2025-07-21 09:20:25.580748,2025-07-21 10:20:58.838183,0 days 01:00:33.257435000,256,128,0.8,0.0001,40,3000,3,COMPLETE
52,0.5202800000000001,2025-07-21 10:20:58.852184,2025-07-21 11:21:25.968070,0 days 01:00:27.115886000,256,128,0.8,0.0001,40,3000,3,COMPLETE
53,0.5202800000000001,2025-07-21 11:21:25.982385,2025-07-21 12:21:55.525728,0 days 01:00:29.543343000,256,128,0.8,0.0001,40,3000,3,COMPLETE
54,0.5202800000000001,2025-07-21 12:21:55.540184,2025-07-21 13:22:18.629757,0 days 01:00:23.089573000,256,128,0.8,0.0001,40,3000,3,COMPLETE
55,0.53538,2025-07-21 13:22:18.644694,2025-07-21 13:59:14.749007,0 days 00:36:56.104313000,256,64,0.8,0.0001,40,3000,3,COMPLETE
56,0.64324,2025-07-21 13:59:14.765588,2025-07-21 14:24:51.931022,0 days 00:25:37.165434000,256,64,0.8,0.0001,40,3000,2,COMPLETE
57,0.29056000000000004,2025-07-21 14:24:51.946324,2025-07-21 14:50:36.242096,0 days 00:25:44.295772000,256,64,0.8,1e-05,40,3000,2,COMPLETE
58,0.65442,2025-07-21 14:50:36.258141,2025-07-21 14:59:27.361088,0 days 00:08:51.102947000,256,64,0.8,0.0001,40,1000,2,COMPLETE
59,0.47548000000000007,2025-07-21 14:59:27.376674,2025-07-21 15:08:19.912331,0 days 00:08:52.535657000,256,64,0.8,0.001,40,1000,2,COMPLETE
60,0.4846,2025-07-21 15:08:19.927959,2025-07-21 15:12:22.738438,0 days 00:04:02.810479000,128,64,0.8,0.1,40,1000,2,COMPLETE
61,0.64324,2025-07-21 15:12:22.757190,2025-07-21 15:37:55.800707,0 days 00:25:33.043517000,256,64,0.8,0.0001,40,3000,2,COMPLETE
62,0.65442,2025-07-21 15:37:55.817006,2025-07-21 15:46:44.396466,0 days 00:08:48.579460000,256,64,0.8,0.0001,40,1000,2,COMPLETE
63,0.65442,2025-07-21 15:46:44.418409,2025-07-21 15:55:33.551122,0 days 00:08:49.132713000,256,64,0.8,0.0001,40,1000,2,COMPLETE
64,0.65442,2025-07-21 15:55:33.568791,2025-07-21 16:04:22.614426,0 days 00:08:49.045635000,256,64,0.8,0.0001,40,1000,2,COMPLETE
65,0.65442,2025-07-21 16:04:22.631369,2025-07-21 16:13:15.859069,0 days 00:08:53.227700000,256,64,0.8,0.0001,40,1000,2,COMPLETE
66,0.65442,2025-07-21 16:13:15.876639,2025-07-21 16:22:04.551185,0 days 00:08:48.674546000,256,64,0.8,0.0001,40,1000,2,COMPLETE
67,0.65442,2025-07-21 16:22:04.568500,2025-07-21 16:30:53.944556,0 days 00:08:49.376056000,256,64,0.8,0.0001,40,1000,2,COMPLETE
68,0.65442,2025-07-21 16:30:53.962209,2025-07-21 16:39:45.553900,0 days 00:08:51.591691000,256,64,0.8,0.0001,40,1000,2,COMPLETE
69,0.46130000000000004,2025-07-21 16:39:45.572828,2025-07-21 16:42:08.908420,0 days 00:02:23.335592000,64,64,0.8,0.001,40,1000,2,COMPLETE
70,0.60328,2025-07-21 16:42:08.926496,2025-07-21 16:50:56.896046,0 days 00:08:47.969550000,256,64,0.8,0.0001,20,1000,2,COMPLETE
71,0.65442,2025-07-21 16:50:56.915136,2025-07-21 16:59:43.697386,0 days 00:08:46.782250000,256,64,0.8,0.0001,40,1000,2,COMPLETE
72,0.65442,2025-07-21 16:59:43.717369,2025-07-21 17:08:33.905377,0 days 00:08:50.188008000,256,64,0.8,0.0001,40,1000,2,COMPLETE
73,0.65442,2025-07-21 17:08:33.927216,2025-07-21 17:17:21.245036,0 days 00:08:47.317820000,256,64,0.8,0.0001,40,1000,2,COMPLETE
