number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
37,0.36332,2025-05-26 09:34:06.145392,2025-05-26 09:34:50.576946,0 days 00:00:44.431554000,128,0.5,0.1,0.0001,10,500,128,COMPLETE
38,0.44964000000000004,2025-05-26 09:34:50.588299,2025-05-26 09:36:21.432339,0 days 00:01:30.844040000,256,0.01,0.01,0.1,3,500,256,COMPLETE
39,0.47074000000000005,2025-05-26 09:36:21.444138,2025-05-26 10:11:59.656758,0 days 00:35:38.212620000,128,1.0,0.5,0.0001,3,5000,512,COMPLETE
40,0.34842,2025-05-26 10:11:59.668840,2025-05-26 10:14:21.765963,0 days 00:02:22.097123000,64,0.1,0.1,0.001,10,3000,128,COMPLETE
41,0.52566,2025-05-26 10:14:21.778077,2025-05-26 10:14:51.425157,0 days 00:00:29.647080000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
42,0.47506,2025-05-26 10:14:51.437227,2025-05-26 10:15:21.094841,0 days 00:00:29.657614000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
43,0.50166,2025-05-26 10:15:21.107253,2025-05-26 10:15:50.871276,0 days 00:00:29.764023000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
44,0.5137200000000001,2025-05-26 10:15:50.883919,2025-05-26 10:16:20.562586,0 days 00:00:29.678667000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
45,0.29306000000000004,2025-05-26 10:16:20.575554,2025-05-26 10:16:50.094947,0 days 00:00:29.519393000,256,0.01,0.01,0.0001,15,500,64,COMPLETE
46,0.4976400000000001,2025-05-26 10:16:50.107868,2025-05-26 10:17:19.736676,0 days 00:00:29.628808000,128,0.01,0.01,0.0001,3,500,64,COMPLETE
47,0.49386,2025-05-26 10:17:19.751541,2025-05-26 10:17:49.496185,0 days 00:00:29.744644000,256,0.01,1.0,0.0001,3,500,64,COMPLETE
48,0.52964,2025-05-26 10:17:49.509290,2025-05-26 10:19:21.383634,0 days 00:01:31.874344000,256,0.01,0.01,0.0001,3,500,256,COMPLETE
49,0.44776000000000005,2025-05-26 10:19:21.397184,2025-05-26 10:20:53.297228,0 days 00:01:31.900044000,256,0.5,0.01,0.0001,3,500,256,COMPLETE
50,0.4809,2025-05-26 10:20:53.310723,2025-05-26 10:35:29.914893,0 days 00:14:36.604170000,256,1.0,0.5,0.001,3,5000,256,COMPLETE
51,0.46614000000000005,2025-05-26 10:35:29.928566,2025-05-26 10:37:01.778753,0 days 00:01:31.850187000,256,0.01,0.01,0.0001,3,500,256,COMPLETE
52,0.46868000000000004,2025-05-26 10:37:01.792914,2025-05-26 10:38:33.671309,0 days 00:01:31.878395000,256,0.01,0.01,0.0001,3,500,256,COMPLETE
53,0.46908000000000005,2025-05-26 10:38:33.685646,2025-05-26 10:39:18.055720,0 days 00:00:44.370074000,256,0.01,0.01,0.0001,3,500,128,COMPLETE
54,0.51058,2025-05-26 10:39:18.069957,2025-05-26 10:39:47.588337,0 days 00:00:29.518380000,256,0.01,0.01,0.0001,3,500,64,COMPLETE
55,0.46180000000000004,2025-05-26 10:39:47.602831,2025-05-26 10:41:19.483966,0 days 00:01:31.881135000,256,0.01,0.01,0.0001,3,500,256,COMPLETE
56,0.39842000000000005,2025-05-26 10:41:19.498594,2025-05-26 10:43:57.082959,0 days 00:02:37.584365000,128,0.01,0.01,0.0001,10,3000,64,COMPLETE
