number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
37,0.26332,2025-06-12 06:42:50.420492,2025-06-12 08:24:34.406242,0 days 01:41:43.985750000,128,0.1,0.01,0.001,10,3000,512,COMPLETE
38,0.3576,2025-06-12 08:24:34.417874,2025-06-12 10:06:35.866657,0 days 01:42:01.448783000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
39,0.33414,2025-06-12 10:06:35.878560,2025-06-12 11:48:40.163504,0 days 01:42:04.284944000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
40,0.22574,2025-06-12 11:48:40.175539,2025-06-12 12:05:11.898794,0 days 00:16:31.723255000,256,0.01,0.01,0.001,15,3000,128,COMPLETE
41,0.34752000000000005,2025-06-12 12:05:11.911008,2025-06-12 13:47:18.188723,0 days 01:42:06.277715000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
42,0.35250000000000004,2025-06-12 13:47:18.201147,2025-06-12 15:29:27.854647,0 days 01:42:09.653500000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
43,0.32202,2025-06-12 15:29:27.866970,2025-06-12 17:15:13.247453,0 days 01:45:45.380483000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
44,0.30884,2025-06-12 17:15:13.260992,2025-06-12 18:57:47.979603,0 days 01:42:34.718611000,256,0.01,0.1,0.0001,10,3000,512,COMPLETE
45,0.1847,2025-06-12 18:57:47.992508,2025-06-12 20:37:53.517470,0 days 01:40:05.524962000,256,0.01,0.01,0.1,10,3000,512,COMPLETE
46,0.35636,2025-06-12 20:37:53.530631,2025-06-12 20:54:27.487852,0 days 00:16:33.957221000,256,0.01,0.01,0.0001,10,3000,128,COMPLETE
47,0.29274000000000006,2025-06-12 20:54:27.501130,2025-06-12 20:57:17.700721,0 days 00:02:50.199591000,256,0.01,0.01,0.0001,10,500,128,COMPLETE
48,0.28634000000000004,2025-06-12 20:57:17.714211,2025-06-12 21:13:49.055054,0 days 00:16:31.340843000,256,0.01,0.01,0.001,15,3000,128,COMPLETE
49,0.28122,2025-06-12 21:13:49.068751,2025-06-12 21:30:23.931824,0 days 00:16:34.863073000,256,0.01,1.0,0.0001,10,3000,128,COMPLETE
50,0.27964,2025-06-12 21:30:23.945421,2025-06-12 21:46:58.228822,0 days 00:16:34.283401000,256,0.01,0.01,0.0001,10,3000,128,COMPLETE
51,0.26558000000000004,2025-06-12 21:46:58.243063,2025-06-12 21:56:42.053939,0 days 00:09:43.810876000,256,0.01,0.01,0.0001,10,3000,64,COMPLETE
52,0.31912,2025-06-12 21:56:42.068268,2025-06-12 23:41:30.380503,0 days 01:44:48.312235000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
53,0.32526000000000005,2025-06-12 23:41:30.394811,2025-06-13 01:23:24.800127,0 days 01:41:54.405316000,256,0.01,0.01,0.0001,10,3000,512,COMPLETE
54,0.30616,2025-06-13 01:23:24.814513,2025-06-13 01:39:58.308563,0 days 00:16:33.494050000,256,0.01,0.01,0.0001,10,3000,128,COMPLETE
55,0.29635999999999996,2025-06-13 01:39:58.323323,2025-06-13 03:21:47.203627,0 days 01:41:48.880304000,256,0.01,0.1,0.0001,10,3000,512,COMPLETE
56,0.34612000000000004,2025-06-13 03:21:47.218359,2025-06-13 03:38:51.651159,0 days 00:17:04.432800000,256,0.01,0.01,0.0001,10,500,512,COMPLETE
57,0.13242,2025-06-13 03:38:51.666346,2025-06-13 03:55:35.652887,0 days 00:16:43.986541000,256,0.01,0.01,0.1,10,500,512,COMPLETE
58,0.29548,2025-06-13 03:55:35.668326,2025-06-13 03:58:25.904609,0 days 00:02:50.236283000,256,0.01,0.01,0.0001,10,500,128,COMPLETE
