number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
38,0.43424000000000007,2025-07-22 21:32:22.330387,2025-07-22 21:42:11.976915,0 days 00:09:49.646528000,64,1.0,0.01,0.0001,3,5000,64,COMPLETE
39,0.47188,2025-07-22 21:42:11.994466,2025-07-22 21:51:56.485231,0 days 00:09:44.490765000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
40,0.28158000000000005,2025-07-22 21:51:56.502525,2025-07-22 22:01:34.004865,0 days 00:09:37.502340000,64,0.1,1.0,0.0001,5,5000,64,COMPLETE
41,0.47188,2025-07-22 22:01:34.020227,2025-07-22 22:11:01.780467,0 days 00:09:27.760240000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
42,0.47188,2025-07-22 22:11:01.796992,2025-07-22 22:20:32.673925,0 days 00:09:30.876933000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
43,0.47188,2025-07-22 22:20:32.692642,2025-07-22 22:31:07.298804,0 days 00:10:34.606162000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
44,0.47188,2025-07-23 16:18:21.820191,2025-07-23 16:27:58.713944,0 days 00:09:36.893753000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
45,0.45082,2025-07-23 16:27:58.733081,2025-07-23 16:37:15.535024,0 days 00:09:16.801943000,64,0.5,0.01,0.0001,5,5000,64,COMPLETE
46,0.4286,2025-07-23 16:37:15.560150,2025-07-23 16:46:26.823305,0 days 00:09:11.263155000,64,1.0,0.01,0.0001,10,5000,64,COMPLETE
47,0.33592000000000005,2025-07-23 16:46:26.842530,2025-07-23 16:51:59.234269,0 days 00:05:32.391739000,64,0.1,1.0,0.1,3,3000,64,COMPLETE
48,0.47188,2025-07-23 16:51:59.252908,2025-07-23 17:01:11.030917,0 days 00:09:11.778009000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
49,0.47188,2025-07-23 17:01:11.050939,2025-07-23 17:10:28.992239,0 days 00:09:17.941300000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
50,0.40406000000000003,2025-07-23 17:10:29.010646,2025-07-23 17:19:43.889709,0 days 00:09:14.879063000,64,0.1,0.01,0.0001,10,5000,64,COMPLETE
51,0.47188,2025-07-23 17:19:43.908804,2025-07-23 17:29:02.949483,0 days 00:09:19.040679000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
52,0.47188,2025-07-23 17:29:02.967185,2025-07-23 17:38:16.163862,0 days 00:09:13.196677000,64,0.1,0.01,0.0001,5,5000,64,COMPLETE
53,0.44336000000000003,2025-07-23 17:38:16.180931,2025-07-23 17:47:11.541065,0 days 00:08:55.360134000,64,0.1,0.01,0.0001,5,5000,256,COMPLETE
54,0.28858,2025-07-23 17:47:11.558325,2025-07-23 17:52:55.771921,0 days 00:05:44.213596000,64,0.1,0.5,0.0001,5,3000,64,COMPLETE
55,0.45082,2025-07-23 17:52:55.789539,2025-07-23 18:02:14.804627,0 days 00:09:19.015088000,64,0.5,0.01,0.0001,5,5000,64,COMPLETE
