number,value,datetime_start,datetime_complete,duration,params_compile_batch_size,params_compile_beta_b,params_compile_beta_z,params_compile_lr,params_compile_prior_rate,params_compile_train_steps,params_hidden_size,state
37,0.13763999999999998,2025-07-10 22:24:26.399611,2025-07-10 22:26:36.237825,0 days 00:02:09.838214000,64,0.01,0.01,0.0001,3,500,128,COMPLETE
38,0.26204,2025-07-10 22:26:36.249376,2025-07-10 23:11:45.543650,0 days 00:45:09.294274000,256,0.5,0.1,0.001,15,5000,64,COMPLETE
39,0.13082000000000002,2025-07-10 23:11:45.555542,2025-07-10 23:54:35.165645,0 days 00:42:49.610103000,64,1.0,0.1,0.1,10,5000,256,COMPLETE
40,0.3879,2025-07-10 23:54:35.177552,2025-07-11 00:15:28.550622,0 days 00:20:53.373070000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
41,0.38980000000000004,2025-07-11 00:15:28.562648,2025-07-11 00:36:20.456227,0 days 00:20:51.893579000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
42,0.41228,2025-07-11 00:36:20.468547,2025-07-11 00:57:11.211729,0 days 00:20:50.743182000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
43,0.29912000000000005,2025-07-11 00:57:11.224327,2025-07-11 01:18:04.547750,0 days 00:20:53.323423000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
44,0.3042,2025-07-11 01:18:04.560374,2025-07-11 01:39:03.635680,0 days 00:20:59.075306000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
45,0.22996,2025-07-11 01:39:03.648766,2025-07-11 02:14:18.744097,0 days 00:35:15.095331000,128,0.01,0.01,0.001,10,5000,128,COMPLETE
46,0.13226,2025-07-11 02:14:18.757082,2025-07-11 02:35:07.159254,0 days 00:20:48.402172000,128,0.01,0.01,0.001,10,5000,64,COMPLETE
47,0.3733,2025-07-11 02:35:07.172642,2025-07-11 02:47:48.119719,0 days 00:12:40.947077000,128,0.01,0.01,0.001,10,3000,64,COMPLETE
48,-inf,2025-07-11 02:47:48.133298,2025-07-11 02:47:57.429173,0 days 00:00:09.295875000,128,0.01,0.01,0.001,10,3000,512,COMPLETE
49,0.38924000000000003,2025-07-11 02:47:57.442737,2025-07-11 03:00:37.881910,0 days 00:12:40.439173000,128,0.01,0.01,0.001,10,3000,64,COMPLETE
